game_key,event,year,name,id,category,start_time,duration,runners,host,max_viewers,median_donation,total_donations,donations_per_min,num_chats,is_Bonus,is_TASBot,has_Incentive,has_Goal,developer,publisher,initial_release_year,initial_consoles,initial_consoles_clean,initial_generation,metascore,user_score,was_on_PC,chats_per_hour,is_Sony,is_Nintendo,is_Microsoft,is_Sega,is_Atari,is_PC,is_Mobile,is_Arcade,is_Other
SGDQ_2017_Tryrush Deppy,SGDQ,2017,Tryrush Deppy,64,,2017-07-04 09:18:00,0.5105555555555555,EggmaniMN,,86652.0,10.0,315.0,10.2829162132753,6386.0,0.0,0.0,1.0,0.0,Sting Entertainment,Takara,1996.0,Sega Saturn,Sega Saturn,5,,,0.0,12507.943416757345,0,0,0,1,0,0,0,0,0
SGDQ_2017_Clustertruck,SGDQ,2017,Clustertruck,65,,2017-07-04 10:06:00,0.4452777777777778,097Aceofspades,,105679.0,12.5,305.0,11.4160948222084,16874.0,0.0,0.0,1.0,1.0,Landfall Games,tinyBuild,2016.0,"Windows, macOS, Linux",PC,Various,74.0,7.5,1.0,37895.44603867748,0,0,0,0,0,1,0,0,0
SGDQ_2017_Defunct,SGDQ,2017,Defunct,66,,2017-07-04 10:44:00,0.31416666666666665,"Grimelios, Celestics",,101427.0,10.0,508.0,26.9496021220159,2578.0,0.0,0.0,0.0,0.0,Freshly Squeezed,SOEDESCO,2016.0,Windows,PC,Various,66.0,6.5,1.0,8205.83554376658,0,0,0,0,0,1,0,0,0
SGDQ_2017_OmniBus,SGDQ,2017,OmniBus,67,,2017-07-04 11:13:00,0.325,Konasumi,,102492.0,17.0,369.77,18.9625641025641,5729.0,0.0,0.0,1.0,0.0,Buddy Cops,Devolver Digital,2016.0,"Windows, macOS, Linux",PC,Various,62.0,6.5,1.0,17627.69230769231,0,0,0,0,0,1,0,0,0
SGDQ_2017_Poi,SGDQ,2017,Poi,68,,2017-07-04 11:54:00,0.9025,097Aceofspades,,106016.0,50.0,1340.0,24.7460757156048,11407.0,0.0,0.0,0.0,0.0,PolyKid,PolyKid,2017.0,"Windows, macOS, Linux",PC,Various,75.0,7.0,1.0,12639.335180055403,0,0,0,0,0,1,0,0,0
SGDQ_2017_Tony Hawk's Pro Skater 2,SGDQ,2017,Tony Hawk's Pro Skater 2,69,,2017-07-04 13:12:00,0.2738888888888889,guished,,118536.0,20.0,1182.5,71.9574036511156,5447.0,0.0,0.0,0.0,0.0,Neversoft,Activision,2000.0,PS1,Playstation,5,98.0,8.9,0.0,19887.626774847868,1,0,0,0,0,0,0,0,0
SGDQ_2017_Tony Hawks Pro Skater 4,SGDQ,2017,Tony Hawks Pro Skater 4,70,,2017-07-04 13:43:00,0.6272222222222222,TkMala,,120887.0,15.0,740.0,19.6634189548273,10095.0,0.0,0.0,0.0,0.0,Neversoft,Activision,2002.0,"PS2, Xbox, GameCube","PS2, Xbox, GameCube",6,94.0,8.7,0.0,16094.774136403898,1,1,1,0,0,0,0,0,0
SGDQ_2017_I Am Bread,SGDQ,2017,I Am Bread,71,,2017-07-04 14:31:00,0.3472222222222222,Blood_Thunder,,137309.0,22.5,1720.0,82.56,11414.0,0.0,0.0,0.0,0.0,Bossa Studios,Bossa Studios,2015.0,"Windows, macOS",PC,Various,60.0,6.5,1.0,32872.32,0,0,0,0,0,1,0,0,0
SGDQ_2017_Hollow Knight,SGDQ,2017,Hollow Knight,74,,2017-07-04 15:02:00,0.8919444444444444,Ourolen,,140586.0,11.0,12407.0,231.834319526627,13230.0,0.0,0.0,0.0,0.0,Team Cherry,Team Cherry,2017.0,"Windows, macOS, Linux",PC,Various,87.0,8.9,1.0,14832.762379321084,0,0,0,0,0,1,0,0,0
SGDQ_2017_Shovel Knight: Specter of Torment,SGDQ,2017,Shovel Knight: Specter of Torment,5592,,2017-07-04 16:12:00,0.7505555555555555,MunchaKoopas,,142902.0,25.0,1959.05,43.5022205773501,13910.0,1.0,0.0,1.0,1.0,Yacht Club Games,Yacht Club Games,2017.0,"Switch, PC","Switch, PC",9,82.0,8.2,1.0,18532.93856402665,0,1,0,0,0,1,0,0,0
